×	26011	41691	208
あ	24763	165	4
ああ	1468	6134	5337
あいた	36	229	8
あう	2713	13556	30
あからさま	644	2701	97
あくどい	44	375	19
あぐねる	32	509	24
あさって	59	879	88
あざとい	13	387	8
あしらい	126	182	12
あしらう	133	2185	172
あたふた	16	139	43
あたら	881	332	8
あっ	905383	8818	4395
あっけらかん	47	459	22
あっさり	1287	2469	637
あてがう	85	1105	86
あどけない	49	497	49
あの	9143	11613	3925
あべこべ	102	243	11
あやかし	183	1838	42
あやかる	58	1246	50
あやす	56	1122	73
あやふや	132	1718	56
あら	4439	3090	658
あらまし	132	722	30
あらゆる	14539	60964	1437
ありあり	61	1137	62
あれ	33988	6381	843
あわや	418	359	37
あわよくば	77	585	24
あんぐり	9	71	18
あんこ	258	1041	6
あんちょこ	2	15	1
あんな	1105	11866	1581
あんぽんたん	8	21	3
あー	528	2613	2024
いい	37957	775868	14
いいえ	236	5997	443
いえ	18932	5188	613
いかす	161	2650	18
いかなご	27	208	8
いかれる	2	523	31
いがらっぽい	1	45	3
いごっそう	23	44	3
いざ	1845	20812	670
いざこざ	247	593	37
いじける	2	391	23
いじましい	1	43	7
いじらしい	2	349	19
いそいそ	23	499	35
いちゃつく	22	167	11
いちゃもん	21	486	17
いっかな	2	30	9
いっそ	184	3756	255
いと	1179	9194	32
いとど	8	17	3
いなす	20	580	16
いなだ	196	417	14
いびる	14	477	5
いぶせい	3	37	1
いや	1927	134	1124
いらっしゃる	90	23161	2196
いわけない	1	34	1
いんちき	60	2233	81
ううん	210	628	1311
うかうか	8	32	16
うじうじ	8	23	23
うじゃうじゃ	7	401	26
うずうず	8	26	39
うそうそ	3	32	8
うだうだ	4	342	32
うち	134589	244919	23
うっかり	527	821	297
うっとり	66	1165	163
うつうつ	6	66	2
うつけ	73	103	5
うつらうつら	5	144	25
うつ伏す	1	218	2
うとうと	41	2	128
うねり	484	3087	92
うねる	160	837	61
うふふ	25	326	241
うむ	202	3383	292
うら	2584	1686	93
うらうら	3	36	5
うら寂しい	4	76	1
うら悲しい	1	25	4
うら若い	14	171	15
うるうる	5	122	60
うろうろ	59	6	282
うろちょろ	2	8	15
うろ覚え	41	769	52
うわ	568	2835	275
うん	3144	9799	2050
うんこ	153	1547	114
うんざり	433	9	230
うんと	65	751	330
え	40662	9871	9
ええ	1124	571	1749
えぐい	6	641	21
えげつない	27	449	14
えっ	441	6423	1811
えんえん	20	6464	22
えんこ	111	86	4
えー	438	814	1685
えーと	10	1350	317
おい	7408	3642	948
おいおい	48	2520	78
おいそれと	32	468	20
おお	13224	6108	1036
おかわ	341	22	1
おけら	17	42	1
おこわ	72	326	23
おしっこ	56	4577	273
おしゃぶり	165	611	28
おしゃま	11	57	4
おじゃん	7	85	9
おじや	15	197	34
おす	292	2121	24
おずおず	14	363	49
おたおた	3	19	4
おちおち	6	148	13
おちょくる	19	189	6
おっ	747	2315	387
おっかない	13	330	37
おっかなびっくり	3	254	12
おっちょこちょい	85	398	19
おっとり	162	531	49
おっぱい	416	9879	319
おっぱじめる	1	37	1
おでん	619	2338	253
おどおど	29	317	41
おどけ	170	28	2
おどろおどろ	10	13	1
おどろおどろしい	76	380	18
おなら	81	1372	91
おひたし	87	680	96
おべっか	45	151	8
おぼこ	21	36	4
おませ	27	89	1
おまる	80	311	20
おみおつけ	4	22	5
おみ足	2	12	1
おめおめ	19	80	6
おめでた	16	184	9
おや	1190	2093	162
おら	35066	1527	8
おろおろ	14	401	66
